year,United States,Germany,Japan,United Kingdom,France,Italy,Canada
1960,180274554,72811637,96399754,52538549,46428136,49514555,17898792
1961,183489491,73376111,97217594,52884952,46893841,49815254,18263079
1962,186724277,73997001,98076406,53272836,47352625,50170591,18613596
1963,189825228,74698006,98958230,53652940,47817824,50570978,18964256
1964,192819456,75313477,99890178,54009131,48319085,51019579,19321670
1965,195653775,75966964,100916017,54359022,48772824,51480733,19685519
1966,198265397,76611028,101887833,54676346,49184652,51919066,20053665
1967,200699913,76970793,102965529,54973659,49574907,52338335,20408776
1968,203011021,77321278,104237475,55240654,49947252,52712156,20734171
1969,205300032,77944023,105475170,55456208,50355300,53060142,21037620
1970,207796339,78205102,106712370,55663801,50813071,53390231,21440020
1971,210426424,78345873,107952031,55890372,51293056,53707790,21895693
1972,212842574,78719923,109238963,56079239,51743877,54067562,22230876
1973,215006548,78966976,110614742,56188788,52162212,54450571,22512230
1974,217076474,78996693,112009690,56224550,52504744,54821112,22824083
1975,219129300,78701861,113321198,56220138,52746322,55166046,23148980
1976,221168756,78364503,114502794,56201144,52959120,55459414,23455783
1977,223259417,78185560,115574280,56175831,53197133,55714552,23730341
1978,225396098,78115357,116576941,56175552,53429668,55938969,23978742
1979,227575083,78147899,117521561,56218759,53660897,56132381,24237173
1980,229858654,78315374,118358761,56282102,53941061,56412088,24533779
1981,232201613,78448044,118994055,56304591,54255004,56646753,24844977
1982,234583158,78393671,119485773,56292761,54582405,56719179,25140164
1983,236986362,78224137,119948942,56332059,54889407,56766113,25412604
1984,239353968,77998199,120384396,56451312,55176626,56810354,25670376
1985,241690439,77863423,120832158,56606416,55467154,56855498,25927463
1986,243953810,77923807,121366733,56751925,55752833,56875982,26211035
1987,246161292,78062321,121943589,56886020,56048365,56891919,26540914
1988,248393235,78385993,122476957,57026540,56361846,56928746,26927938
1989,250675047,79007063,122947411,57182137,56685081,56976750,27366047
1990,253373385,79707964,123399767,57367867,56990239,57031457,27789436
1991,256471425,80303189,123889870,57555199,57271563,57075393,28157153
1992,259606020,80934901,124383707,57719272,57554865,57124992,28500065
1993,262633235,81486770,124839954,57861036,57801260,57170761,28830635
1994,265474811,81773612,125286862,58003200,57999868,57420136,29147382
1995,268205794,82019890,125672659,58154632,58192206,57403344,29459136
1996,270860696,82263195,125975305,58298563,58380637,57162098,29767210
1997,273468014,82389631,126265926,58447090,58568662,57189272,30059087
1998,276119323,82011933,126549181,58626822,58778817,57215190,30329968
1999,278785482,81678279,126801566,58838660,59084208,57240797,30599458
2000,281484127,81797255,127027796,59057336,59483716,57272200,30891800
2001,284279629,81933883,127260144,59288095,59905130,57305758,31213577
2002,287084336,82068328,127484599,59540763,60327247,57420635,31535580
2003,289908091,82111619,127671255,59820385,60741121,57739696,31836484
2004,292786247,82092706,127815770,60169964,61175243,58176735,32132680
2005,295716665,82046731,127913331,60596108,61625030,58519697,32440173
2006,298730210,81701971,127997248,61051093,62049831,58754433,32759174
2007,301844227,81298546,128087684,61535860,62432438,59108723,33092172
2008,304970328,81110781,128155991,62027303,62780187,59561686,33449089
2009,308023451,80935275,128192471,62506221,63106461,59904016,33826369
2010,311062786,80830917,128185273,63006484,63417366,60164212,34196901
2011,314105078,80857877,128096431,63509285,63733777,60367882,34555450
2012,317115348,80916393,127928283,63960487,64058465,60531522,34922512
2013,320110753,81041580,127723641,64389386,64387736,60653865,35293420
2014,323115378,81376078,127486600,64865914,64692495,60664169,35634265
2015,326126498,82077546,127275868,65382107,64916336,60575314,35962236
2016,329179421,82760100,127159949,65893359,65086852,60478103,36353345
2017,332204656,83104012,127064685,66354474,65284775,60390317,36808500
2018,335056495,83368506,126913433,66752473,65519539,60277496,37294997
2019,337790068,83559185,126699422,67110958,65729460,60130136,37782931
2020,339436157,83628711,126304536,67351860,65905273,59912763,38171901
2021,340161441,83697082,125679341,67668789,66083547,59729354,38454058
2022,341534041,84086228,124997586,68179315,66277412,59619106,38821260
2023,343477332,84548234,124370947,68682965,66438828,59499452,39299099